BS_ID	File ID	File Name	File volume	File location
BS_3VKW5988	624309c25638100a011ab98a	bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc7609f2-53c8-41a0-a21d-0969ef397043.vardict_somatic.norm.annot.public.vcf.gz.tbi
BS_HEJ72V3F	624309c25638100a011ab9b8	bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.protected.maf
BS_HEJ72V3F	624309c25638100a011ab9a6	bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.protected.vcf.gz
BS_HEJ72V3F	624309c25638100a011ab991	bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.protected.vcf.gz.tbi
BS_HEJ72V3F	624309c25638100a011ab981	bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.public.maf
BS_HEJ72V3F	624309c25638100a011ab994	bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.public.vcf.gz
BS_HEJ72V3F	624309c25638100a011ab8ec	bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bc85d784-28f8-4d32-a0e1-46dd9159ea12.consensus_somatic.public.vcf.gz.tbi
BS_X5VN0FW0	624309c25638100a011ab9b6	bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.protected.vcf.gz
BS_X5VN0FW0	624309c25638100a011ab9ab	bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.protected.vcf.gz.tbi
BS_X5VN0FW0	624309c25638100a011ab997	bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.public.vcf.gz
BS_X5VN0FW0	624309c25638100a011ab927	bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bcb6300f-5242-41c7-80f8-fca828baea42.strelka2_somatic.norm.annot.public.vcf.gz.tbi
BS_YHXMYDBN	624309c25638100a011ab9bd	bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.protected.vcf.gz
BS_YHXMYDBN	624309c25638100a011ab9bf	bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.protected.vcf.gz.tbi
BS_YHXMYDBN	624309c25638100a011ab9c8	bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.public.vcf.gz
BS_YHXMYDBN	624309c25638100a011ab9c4	bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bdb1a294-ec9d-4541-86d8-8b19d2aafb0b.strelka2_somatic.norm.annot.public.vcf.gz.tbi
BS_H8NWA41N	624309c25638100a011ab9c6	bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.protected.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.protected.vcf.gz
BS_H8NWA41N	624309c25638100a011ab9cb	bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.protected.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.protected.vcf.gz.tbi
BS_H8NWA41N	624309c25638100a011ab9c1	bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.public.vcf.gz	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.public.vcf.gz
BS_H8NWA41N	624309c25638100a011ab9ca	bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.public.vcf.gz.tbi	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/bddcebaa-f2ec-46de-9a46-de82b88b4fe3.strelka2_somatic.norm.annot.public.vcf.gz.tbi
BS_EE73VE7V	624309c25638100a011ab9bc	be1863c8-ca5f-4e95-9086-a0a6a46b80e3.lancet_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/be1863c8-ca5f-4e95-9086-a0a6a46b80e3.lancet_somatic.norm.annot.protected.maf
BS_EE73VE7V	624309c25638100a011ab9c7	be1863c8-ca5f-4e95-9086-a0a6a46b80e3.lancet_somatic.norm.annot.public.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/be1863c8-ca5f-4e95-9086-a0a6a46b80e3.lancet_somatic.norm.annot.public.maf
BS_EE73VE7V	624309c25638100a011ab9c9	be1863c8-ca5f-4e95-9086-a0a6a46b80e3.mutect2_somatic.norm.annot.protected.maf	kfdrc-harmonization/sd_8y99qzjj	harmonized-data/simple-variants/be1863c8-ca5f-4e95-9086-a0a6a46b80e3.mutect2_somatic.norm.annot.protected.maf
